,NIC_PT,NAME,NUI_PT,YEAR,AGECAT,SEXCAT,state
884,173334,Vermont,13348,2015,1,1,50
885,183069,Vermont,8411,2015,1,2,50
892,122241,Vermont,1650,2015,4,0,50
896,6253241,Virginia,722551,2015,0,0,51
897,3066939,Virginia,388598,2015,0,1,51
898,3186302,Virginia,333953,2015,0,2,51
899,4497120,Virginia,635654,2015,1,0,51
900,2170180,Virginia,343344,2015,1,1,51
901,2326940,Virginia,292310,2015,1,2,51
908,1839220,Virginia,96291,2015,4,0,51
912,5561786,Washington,459596,2015,0,0,53
913,2772525,Washington,267189,2015,0,1,53
914,2789261,Washington,192407,2015,0,2,53
915,4021925,Washington,415738,2015,1,0,53
916,1984643,Washington,244368,2015,1,1,53
917,2037282,Washington,171370,2015,1,2,53
924,1614866,Washington,49004,2015,4,0,53
928,1358296,West Virginia,106941,2015,0,0,54
929,669829,West Virginia,62651,2015,0,1,54
930,688467,West Virginia,44290,2015,0,2,54
931,999419,West Virginia,96323,2015,1,0,54
932,486197,West Virginia,57082,2015,1,1,54
933,513222,West Virginia,39241,2015,1,2,54
940,376478,West Virginia,11700,2015,4,0,54
944,4435087,Wisconsin,314933,2015,0,0,55
945,2209263,Wisconsin,180488,2015,0,1,55
946,2225824,Wisconsin,134445,2015,0,2,55
947,3210460,Wisconsin,269630,2015,1,0,55
948,1583447,Wisconsin,156597,2015,1,1,55
949,1627013,Wisconsin,113033,2015,1,2,55
956,1285459,Wisconsin,49571,2015,4,0,55
960,424832,Wyoming,65487,2015,0,0,56
961,215073,Wyoming,36351,2015,0,1,56
962,209759,Wyoming,29136,2015,0,2,56
963,298939,Wyoming,54927,2015,1,0,56
964,150588,Wyoming,30931,2015,1,1,56
965,148351,Wyoming,23996,2015,1,2,56
972,131245,Wyoming,11399,2015,4,0,56
976,3545106,Alabama,427972,2016,0,0,01
977,1721054,Alabama,228715,2016,0,1,01
978,1824052,Alabama,199257,2016,0,2,01
979,2494583,Alabama,401044,2016,1,0,01
980,1184612,Alabama,215401,2016,1,1,01
981,1309971,Alabama,185643,2016,1,2,01
988,1104778,Alabama,30253,2016,4,0,01
992,548727,Alaska,100787,2016,0,0,02
993,281497,Alaska,56605,2016,0,1,02
994,267230,Alaska,44182,2016,0,2,02
995,382632,Alaska,81929,2016,1,0,02
996,196315,Alaska,46371,2016,1,1,02
997,186317,Alaska,35558,2016,1,2,02
1004,173456,Alaska,20294,2016,4,0,02
1008,4943358,Arizona,669819,2016,0,0,04
1009,2427609,Arizona,373017,2016,0,1,04
1010,2515749,Arizona,296802,2016,0,2,04
1011,3457128,Arizona,552328,2016,1,0,04
1012,1669107,Arizona,312460,2016,1,1,04
1013,1788021,Arizona,239868,2016,1,2,04
1020,1558263,Arizona,129641,2016,4,0,04
1024,2199165,Arkansas,228342,2016,0,0,05
1025,1076274,Arkansas,126828,2016,0,1,05
1026,1122891,Arkansas,101514,2016,0,2,05
1027,1535430,Arkansas,201972,2016,1,0,05
1028,737417,Arkansas,112575,2016,1,1,05
